partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility,url,features
DeepLearning.AI,Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188,Beginner , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=Generative AI for Everyone,Generative AI for Everyone 188 Beginner 
IBM,IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43.2k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM DevOps and Software Engineering,IBM DevOps and Software Engineering 43.2k Beginner 
IBM,IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41.2k,Beginner , Professional Certificate , 3 - 6 Months,True,https://www.coursera.org/search?query=IBM Full Stack Software Developer,IBM Full Stack Software Developer 41.2k Beginner 
IBM,Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81.5k,Beginner , Specialization , 1 - 3 Months,False,https://www.coursera.org/search?query=Key Technologies for Business,Key Technologies for Business 81.5k Beginner 
IBM,Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59.2k,Beginner , Specialization , 3 - 6 Months,True,https://www.coursera.org/search?query=Data Science Fundamentals with Python and SQL,Data Science Fundamentals with Python and SQL 59.2k Beginner 
University of Virginia Darden School Foundation,IBM & Darden Digital Strategy,"{"" Business Analysis"","" Business Transformation"","" Strategy"","" Cloud Computing"","" Data Analysis"","" Strategy and Operations"","" Applied Machine Learning"","" Entrepreneurship"","" Leadership and Management"","" Algorithms"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Innovation"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Marketing"","" Sales"","" Data Visualization"","" Research and Design"","" Business Design"","" Business Development"","" Customer Analysis"","" Product Strategy"","" Market Analysis"","" Data Management"","" Data Mining"","" Databases"","" Python Programming"","" SQL"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" Data Science"","" DevOps"","" IBM Cloud"","" NoSQL"","" R Programming"","" Microsoft Excel""}",4.7,29.7k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM & Darden Digital Strategy,IBM & Darden Digital Strategy 29.7k Beginner 
IBM,IBM Data Engineering,"{"" Data Management"","" Databases"","" Database Administration"","" Extract"","" Transform"","" Load"","" Big Data"","" SQL"","" Python Programming"","" Apache"","" Database Design"","" Distributed Computing Architecture"","" Data Architecture"","" Database Application"","" NoSQL"","" Data Structures"","" Data Model"","" Data Warehousing"","" Cloud Computing"","" Database Theory"","" Data Engineering"","" Data Visualization"","" Computer Programming"","" Cloud Storage"","" IBM Cloud"","" Data Mining"","" Machine Learning"","" Cloud Applications"","" Data Analysis"","" Leadership and Management"","" Kubernetes"","" Software Architecture"","" PostgreSQL"","" Computational Thinking"","" Business Intelligence"","" Data Visualization Software"","" Linux"","" Network Security"","" Statistical Programming"","" Data Science""}",4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,True,https://www.coursera.org/search?query=IBM Data Engineering,IBM Data Engineering 46.2k Beginner 
IBM,IBM Data Analytics with Excel and R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Data Visualization"","" Data Management"","" Statistical Programming"","" Databases"","" Plot (Graphics)"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Analysis Software"","" Data Structures"","" Statistical Analysis"","" Microsoft Excel"","" SQL"","" Basic Descriptive Statistics"","" General Statistics"","" Interactive Data Visualization"","" Database Application"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Data Mining"","" Data Visualization Software"","" Statistical Machine Learning"","" Visual Design"","" Business Analysis"","" Python Programming"","" Data Science"","" NoSQL""}",4.7,19.9k,Beginner , Professional Certificate , 3 - 6 Months,True,https://www.coursera.org/search?query=IBM Data Analytics with Excel and R,IBM Data Analytics with Excel and R 19.9k Beginner 
IBM,Data Analysis and Visualization Foundations,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Visualization"","" Data Analysis"","" Plot (Graphics)"","" Databases"","" Python Programming"","" SQL"","" Statistical Visualization"","" Business Analysis"","" Data Management"","" Data Mining"","" Data Science"","" Interactive Data Visualization"","" NoSQL"","" R Programming"","" Data Visualization Software""}",4.7,19.3k,Beginner , Specialization , 3 - 6 Months,True,https://www.coursera.org/search?query=Data Analysis and Visualization Foundations,Data Analysis and Visualization Foundations 19.3k Beginner 
DeepLearning.AI,Deep Learning,"{"" Machine Learning"","" Deep Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Python Programming"","" Machine Learning Software"","" Network Model"","" Algorithms"","" Computer Programming"","" Computer Vision"","" Network Architecture"","" Natural Language Processing"","" Tensorflow"","" Human Learning"","" Data Analysis"","" Exploratory Data Analysis"","" Organizational Development"","" Strategy"","" Mathematics"","" Mathematical Theory & Analysis"","" Linear Algebra"","" Regression"","" Calculus""}",4.8,141.5k,Intermediate , Specialization , 3 - 6 Months,True,https://www.coursera.org/search?query=Deep Learning,Deep Learning 141.5k Intermediate 
IBM,IBM AI Foundations for Business,"{"" Machine Learning"","" Data Analysis"","" Applied Machine Learning"","" Data Management"","" Leadership and Management"","" Machine Learning Algorithms"","" Algorithms"","" Artificial Neural Networks"","" Business Process Management"","" Computer Vision"","" Data Architecture"","" Deep Learning"","" Human Learning"","" Machine Learning Software"","" Data Science"","" Strategy and Operations"","" Business Transformation"","" Cloud Computing"","" Strategy"","" Big Data"","" Data Mining"","" Innovation"","" Regression"","" Writing""}",4.7,77.2k,Beginner , Specialization , 1 - 3 Months,False,https://www.coursera.org/search?query=IBM AI Foundations for Business,IBM AI Foundations for Business 77.2k Beginner 
IBM,Data Engineering Foundations,"{"" Data Management"","" Python Programming"","" Databases"","" Data Structures"","" Data Engineering"","" Database Application"","" SQL"","" Database Administration"","" Database Design"","" Extract"","" Transform"","" Load"","" Computer Programming"","" Data Architecture"","" Database Theory"","" Data Mining"","" Data Model"","" Data Analysis"","" Leadership and Management"","" Computational Thinking"","" Data Warehousing"","" PostgreSQL"","" Big Data"","" IBM Cloud"","" Network Security"","" NoSQL"","" Cloud Computing"","" Data Science""}",4.6,45.1k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Data Engineering Foundations,Data Engineering Foundations 45.1k Beginner 
IBM,IBM Back-End Development,"{"" Application Development"","" Software Engineering"","" Python Programming"","" Computer Programming"","" Software Architecture"","" DevOps"","" Software Engineering Tools"","" Cloud Applications"","" Cloud Computing"","" Security Engineering"","" Programming Principles"","" Web Development"","" Cloud Infrastructure"","" Cloud-Based Integration"","" Microarchitecture"","" Agile Software Development"","" Communication"","" IBM Cloud"","" Kubernetes"","" Software Security"","" Data Management"","" Database Application"","" Databases"","" Docker (Software)"","" Linux"","" Product Management"","" SQL"","" Software-Defined Networking"","" Collaboration"","" Django (Web Framework)"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36.7k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM Back-End Development,IBM Back-End Development 36.7k Beginner 
IBM,Applied Data Science,"{"" Python Programming"","" Data Visualization"","" Statistical Programming"","" Data Analysis"","" Machine Learning"","" Statistical Visualization"","" Plot (Graphics)"","" Algorithms"","" Computer Programming"","" Data Science"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,48.5k,Beginner , Specialization , 3 - 6 Months,True,https://www.coursera.org/search?query=Applied Data Science,Applied Data Science 48.5k Beginner 
IBM,IBM Applied AI,"{"" Machine Learning"","" Deep Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Python Programming"","" Cloud Computing"","" Computer Vision"","" Human Learning"","" IBM Cloud"","" Applied Machine Learning"","" Algorithms"","" Cloud API"","" Machine Learning Software"","" Natural Language Processing"","" Human Computer Interaction"","" Computer Programming"","" Cloud Applications"","" Computer Programming Tools"","" Application Development"","" Visualization (Computer Graphics)"","" Data Analysis"","" Software As A Service"","" User Experience Design"","" Data Science""}",4.6,46.2k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM Applied AI,IBM Applied AI 46.2k Beginner 
Macquarie University,Excel Skills for Business,"{"" Spreadsheet Software"","" Business Analysis"","" Microsoft Excel"","" Data Analysis"","" Plot (Graphics)"","" Data Visualization"","" Data Model"","" Databases"","" Finance"","" Leadership and Management""}",4.9,59k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Excel Skills for Business,Excel Skills for Business 59k Beginner 
IBM,Applied Software Engineering Fundamentals,"{"" Python Programming"","" Computer Programming"","" Software Engineering"","" Application Development"","" Programming Principles"","" Software Architecture"","" Software Engineering Tools"","" Agile Software Development"","" Communication"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Linux"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,36k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Applied Software Engineering Fundamentals,Applied Software Engineering Fundamentals 36k Beginner 
DeepLearning.AI,Generative AI with Large Language Models,"{"" Machine Learning"","" Natural Language Processing"","" Python Programming""}",4.8,1.3k,Intermediate , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=Generative AI with Large Language Models,Generative AI with Large Language Models 1.3k Intermediate 
Google,Google Advanced Data Analytics,"{"" Communication"","" Computer Programming"","" Data Analysis"","" Exploratory Data Analysis"","" General Statistics"","" Machine Learning"","" Planning"","" Probability Distribution"","" Project Management"","" Python Programming"","" Regression"","" Statistical Analysis"","" Tableau Software""}",4.7,2.2k,Advanced , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=Google Advanced Data Analytics,Google Advanced Data Analytics 2.2k Advanced 
IBM,"DevOps, Cloud, and Agile Foundations","{"" DevOps"","" Cloud Computing"","" Software Engineering"","" Agile Software Development"","" Continuous Delivery"","" Continuous Integration"","" Scrum (Software Development)"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" IBM Cloud"","" Leadership and Management""}",4.7,7.7k,Beginner , Specialization , 3 - 6 Months,False,"https://www.coursera.org/search?query=DevOps, Cloud, and Agile Foundations","DevOps, Cloud, and Agile Foundations 7.7k Beginner "
Meta,Meta Front-End Developer,"{"" HTML and CSS"","" Javascript"","" Front-End Web Development"","" React (web framework)"","" Web Development"","" User Experience"","" Algorithms"","" Computer Science"","" Web Design"","" Application Development"","" Computer Programming"","" Software Engineering"","" Web Development Tools"","" Collaboration"","" Communication"","" Data Structures"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Problem Solving"","" Product Design"","" Software Engineering Tools"","" Software Testing""}",4.7,14.7k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=Meta Front-End Developer,Meta Front-End Developer 14.7k Beginner 
IBM,Cloud Application Development Foundations,"{"" Cloud Computing"","" Cloud Applications"","" IBM Cloud"","" Javascript"","" Cloud Infrastructure"","" Cloud Platforms"","" DevOps"","" Cloud Management"","" Computer Programming"","" Web Development"","" Cloud API"","" Continuous Integration"","" Cloud Storage"","" Software As A Service"","" Continuous Delivery"","" Web Development Tools"","" NoSQL"","" Computer Science"","" React (web framework)""}",4.6,6.1k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Cloud Application Development Foundations,Cloud Application Development Foundations 6.1k Beginner 
Google,Foundations of Project Management,"{"" Project Management"","" Strategy and Operations"","" Business Communication"","" Change Management"","" Organizational Development"","" Communication"","" Culture"","" Emotional Intelligence"","" Influencing"","" Leadership and Management"","" People Management"","" Planning""}",4.9,73.7k,Beginner , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=Foundations of Project Management,Foundations of Project Management 73.7k Beginner 
Google,Foundations of Cybersecurity,"{"" Linux"","" Computer Programming"","" Leadership and Management"","" SQL""}",4.9,11.8k,Beginner , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=Foundations of Cybersecurity,Foundations of Cybersecurity 11.8k Beginner 
IBM,IBM IT Support,"{"" Customer Success"","" Cloud Computing"","" Computer Networking"","" Strategy and Operations"","" Operating Systems"","" Cloud Storage"","" Cloud Applications"","" Leadership and Management"","" System Security"","" Customer Support"","" Communication"","" Computer Programming"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Cryptography"","" IBM Cloud"","" Information Technology"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6.6k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM IT Support,IBM IT Support 6.6k Beginner 
Google,"Foundations: Data, Data, Everywhere","{"" Data Analysis"","" SQL"","" Data Visualization"","" Business Analysis"","" Spreadsheet Software"","" Data Science"","" Databases"","" Microsoft Excel""}",4.8,93.9k,Beginner , Course , 1 - 3 Months,False,"https://www.coursera.org/search?query=Foundations: Data, Data, Everywhere","Foundations: Data, Data, Everywhere 93.9k Beginner "
SkillUp EdTech,IBM IT Project Manager,"{"" Software Engineering"","" Agile Software Development"","" Computer Programming"","" Software Engineering Tools"","" Application Development"","" Programming Principles"","" Software Architecture"","" Communication"","" Cloud Applications"","" Product Management"","" Scrum (Software Development)"","" Software-Defined Networking"","" Leadership and Management"","" Project Management"","" Cloud Computing"","" IBM Cloud"","" Information Technology"","" Operating Systems"","" Python Programming"","" Risk Management""}",4.8,2.4k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM IT Project Manager,IBM IT Project Manager 2.4k Beginner 
Google,Google IT Automation with Python,"{"" Cloud Computing"","" Cloud Platforms"","" Collaboration"","" Computer Programming"","" Data Structures"","" Google Cloud Platform"","" Leadership and Management"","" Problem Solving"","" Python Programming""}",4.7,42k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=Google IT Automation with Python,Google IT Automation with Python 42k Beginner 
IBM,Information Technology (IT) and Cloud Fundamentals,"{"" Cloud Computing"","" Computer Networking"","" Operating Systems"","" Cloud Storage"","" System Security"","" Cloud Applications"","" Cyberattacks"","" Cloud Infrastructure"","" Cloud Platforms"","" Databases"","" DevOps"","" Networking Hardware"","" Computer Programming"","" Cryptography"","" IBM Cloud"","" Network Architecture"","" Network Security"","" Security Engineering"","" Software Engineering""}",4.7,6.1k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Information Technology (IT) and Cloud Fundamentals,Information Technology (IT) and Cloud Fundamentals 6.1k Beginner 
Vanderbilt University,Prompt Engineering,"{"" Creativity"","" Data Analysis"","" Problem Solving"","" Writing""}",4.8,1.8k,Beginner , Specialization , 1 - 3 Months,False,https://www.coursera.org/search?query=Prompt Engineering,Prompt Engineering 1.8k Beginner 
Microsoft,Microsoft Power BI Data Analyst,"{"" Data Analysis"","" Data Management"","" Data Mining"","" Data Model"","" Extract"","" Transform"","" Load"","" Microsoft Excel"","" Power BI"","" SQL""}",4.6,907,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=Microsoft Power BI Data Analyst,Microsoft Power BI Data Analyst 907 Beginner 
IBM,IBM Data Warehouse Engineer,"{"" Data Management"","" Databases"","" Database Administration"","" SQL"","" Database Application"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Design"","" Data Structures"","" Data Engineering"","" Computer Programming"","" Data Analysis"","" Data Architecture"","" Database Theory"","" Apache"","" Python Programming"","" Leadership and Management"","" Professional Development"","" Big Data"","" Data Model"","" Distributed Computing Architecture"","" Computational Thinking"","" PostgreSQL"","" Software Architecture"","" Cloud Computing"","" Linux"","" IBM Cloud"","" Network Security"","" NoSQL"","" Business Intelligence"","" Data Science""}",4.7,3.6k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM Data Warehouse Engineer,IBM Data Warehouse Engineer 3.6k Beginner 
IBM,IBM Cybersecurity Analyst,"{"" Cryptography"","" Python Programming"","" Linux"","" Network Security"","" Security Strategy"","" Software Security"","" System Software"","" Computer Security Incident Management"","" Networking Hardware"","" Security Software"","" Cloud Computing"","" Cyberattacks"","" DevOps"","" Mobile Security"","" Computer Programming"","" Databases"","" Leadership and Management"","" Operating Systems"","" SQL"","" System Security""}",4.6,21.7k,Beginner , Professional Certificate , 3 - 6 Months,True,https://www.coursera.org/search?query=IBM Cybersecurity Analyst,IBM Cybersecurity Analyst 21.7k Beginner 
DeepLearning.AI,AI For Everyone,"{"" Data Science"","" Deep Learning"","" Machine Learning"","" Artificial Neural Networks"","" Business Transformation"","" Human Learning"","" Planning"","" Project Management""}",4.8,39.4k,Beginner , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=AI For Everyone,AI For Everyone 39.4k Beginner 
DeepLearning.AI,Supervised Machine Learning: Regression and Classification,"{"" Machine Learning"","" Machine Learning Algorithms"","" Regression"","" Applied Machine Learning"","" Algorithms"","" Statistical Machine Learning"","" Mathematics"","" Critical Thinking"","" Machine Learning Software"","" Python Programming""}",4.9,15k,Beginner , Course , 1 - 4 Weeks,False,https://www.coursera.org/search?query=Supervised Machine Learning: Regression and Classification,Supervised Machine Learning: Regression and Classification 15k Beginner 
IBM,IBM DevOps and Software Engineering,"{""""}",,,,,,False,https://www.coursera.org/search?query=IBM DevOps and Software Engineering,
IBM,IBM Front-End Developer,"{"" Software Engineering"","" Cloud Applications"","" Application Development"","" Computer Programming"","" Software Engineering Tools"","" Cloud Computing"","" IBM Cloud"","" Programming Principles"","" Web Development"","" Agile Software Development"","" Cloud API"","" Cloud Infrastructure"","" Cloud Management"","" Cloud Platforms"","" Communication"","" DevOps"","" Software Architecture"","" Continuous Integration"","" Software As A Service"","" Web Development Tools"","" Continuous Delivery"","" Front-End Web Development"","" Leadership and Management"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Javascript"","" NoSQL"","" Mergers & Acquisitions"","" Python Programming"","" React (web framework)"","" Strategy""}",4.6,1.6k,Beginner , Professional Certificate , 3 - 6 Months,False,https://www.coursera.org/search?query=IBM Front-End Developer,IBM Front-End Developer 1.6k Beginner 
Google,Technical Support Fundamentals,"{"" Communication"","" Computer Architecture"","" Computer Networking"","" Customer Support"","" Networking Hardware""}",4.8,145.6k,Beginner , Course , 1 - 3 Months,False,https://www.coursera.org/search?query=Technical Support Fundamentals,Technical Support Fundamentals 145.6k Beginner 
University of Pennsylvania,Business Foundations,"{"" Accounting"","" Finance"","" General Accounting"","" Decision Making"","" Financial Accounting"","" Strategy and Operations"","" Account Management"","" Accounts Payable and Receivable"","" Cost Accounting"","" Leadership and Management"","" Strategy"","" Cash Management"","" Communication"","" Financial Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Marketing"","" Brand Management"","" Budget Management"","" Customer Analysis"","" Market Analysis"","" Marketing Design"","" Product Marketing"","" Product Strategy"","" Entrepreneurship"","" Human Resources"","" People Analysis"","" Performance Management"","" Business Analysis"","" Customer Relationship Management"","" Data Analysis"","" Digital Marketing"","" Mathematical Theory & Analysis"","" Change Management"","" Human Resources Operations"","" Talent Management"","" Operations Management""}",4.7,24.1k,Beginner , Specialization , 3 - 6 Months,False,https://www.coursera.org/search?query=Business Foundations,Business Foundations 24.1k Beginner 
IBM,"BI Foundations with SQL, ETL and Data Warehousing","{"" Data Management"","" Extract"","" Transform"","" Load"","" Data Warehousing"","" Database Administration"","" Apache"","" Computer Programming"","" Python Programming"","" Data Analysis"","" Databases"","" Big Data"","" Database Application"","" Distributed Computing Architecture"","" Cloud Computing"","" Computational Thinking"","" Database Design"","" Database Theory"","" Leadership and Management"","" Linux"","" SQL"","" Software Architecture"","" Business Intelligence"","" IBM Cloud""}",4.6,19.6k,Beginner , Specialization , 3 - 6 Months,False,"https://www.coursera.org/search?query=BI Foundations with SQL, ETL and Data Warehousing","BI Foundations with SQL, ETL and Data Warehousing 19.6k Beginner "
